timestamp,server_id,cpu_pct,ram_pct,disk_io_mbps,net_mbps,temp_celsius,disk_used_pct,is_anomaly,anomaly_type
2014-02-22 16:10:00,server-01,0.07,5.0,19.0,13.36,30.92,51.89,False,normal
2014-03-03 23:44:00,server-06,16.17,7.39,1.8,2.28,39.0,68.37,False,normal
2014-02-25 16:35:00,server-02,1.77,5.0,20.94,15.89,33.29,65.35,False,normal
2014-02-24 04:25:00,server-02,1.83,5.0,22.1,9.37,29.85,46.64,True,thermal_event
2014-02-15 04:05:00,server-09,0.35,6.94,24.51,13.15,27.97,68.42,False,normal
2014-02-17 20:35:00,server-01,0.13,5.0,9.38,12.28,28.89,74.57,False,normal
2014-02-20 18:10:00,server-09,3.54,12.97,7.65,3.56,32.21,56.71,False,normal
2014-02-26 18:35:00,server-08,13.89,15.82,9.19,18.55,38.19,50.46,True,thermal_event
2014-03-07 01:05:00,server-09,28.5,29.78,7.34,4.3,47.2,50.35,False,normal
2014-02-21 20:55:00,server-10,7.16,5.0,21.56,6.37,35.15,56.09,False,normal
2014-03-06 16:20:00,server-10,1.93,5.0,15.88,6.56,28.54,48.48,False,normal
2014-02-24 03:00:00,server-08,6.89,12.11,9.11,3.52,31.84,73.47,False,normal
2014-04-12 01:54:00,server-05,37.75,35.58,11.37,11.8,47.56,63.58,False,normal
2014-02-27 15:20:00,server-01,0.13,6.66,12.93,1.18,29.68,51.06,True,thermal_event
2014-04-04 15:14:00,server-05,2.77,5.0,20.81,2.7,29.22,41.63,False,normal
2014-03-09 23:25:00,server-09,38.38,34.49,2.69,11.75,47.4,47.1,False,normal
2014-04-20 01:34:00,server-07,20.73,17.08,16.22,0.21,38.81,53.81,False,normal
2014-02-15 13:00:00,server-01,0.13,9.44,10.78,11.02,31.97,68.04,False,normal
2014-02-17 22:50:00,server-01,0.13,5.0,8.14,11.77,28.46,64.06,False,normal
2014-02-23 06:20:00,server-02,1.73,5.99,22.94,11.83,29.88,67.95,False,normal
2014-03-13 00:09:00,server-06,20.95,14.65,0.0,10.37,38.11,65.04,False,normal
2014-03-03 01:59:00,server-06,17.41,19.93,0.0,8.01,36.34,73.09,False,normal
2014-02-26 06:25:00,server-09,21.35,10.4,10.05,2.34,42.75,42.08,False,normal
2014-04-13 05:59:00,server-07,18.48,8.09,18.41,3.11,42.22,68.72,False,normal
2014-02-14 15:35:00,server-02,1.83,5.0,22.85,8.29,33.11,62.43,False,normal
2014-03-10 19:10:00,server-10,40.33,29.08,15.53,7.68,50.11,72.02,False,normal
2014-02-22 10:05:00,server-08,5.86,13.46,19.08,9.92,30.51,73.7,False,normal
2014-02-24 05:40:00,server-02,2.0,5.0,6.07,17.6,29.03,70.41,False,normal
2014-02-17 04:40:00,server-10,11.09,11.84,5.22,8.67,35.42,40.12,False,normal
2014-02-24 09:50:00,server-01,0.13,5.7,4.79,15.55,29.86,44.27,False,normal
2014-02-21 07:20:00,server-02,1.67,5.0,15.26,11.11,30.43,63.11,False,normal
2014-02-25 20:35:00,server-08,14.44,5.0,21.98,9.91,34.99,50.84,False,normal
2014-03-03 16:30:00,server-10,1.6,5.0,6.56,13.17,32.79,46.26,False,normal
2014-04-17 03:54:00,server-07,22.57,21.41,5.19,0.2,43.64,47.18,False,normal
2014-04-12 10:29:00,server-05,33.8,31.14,14.96,6.21,48.46,59.41,False,normal
2014-04-23 22:49:00,server-07,25.58,19.04,6.51,0.23,42.39,52.8,False,normal
2014-03-07 06:44:00,server-06,25.85,20.21,0.0,9.47,44.98,61.1,False,normal
